City,City.1,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Impfondo,CG,73.17,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
1,Mindelo,CV,78.35,scattered clouds,16.8901,-24.9804,Hotel Gaudi
2,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
3,Kavieng,PG,82.4,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
4,Albany,US,73.38,few clouds,42.6001,-73.9662,
5,Butaritari,KI,81.82,clear sky,3.0707,172.7902,Isles Sunset Lodge
6,Praia,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
7,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
8,Abu Kamal,SY,83.32,clear sky,34.4506,40.9171,البوكمال
9,Rikitea,PF,73.94,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
11,Ambulu,ID,78.46,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
12,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
13,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
14,Arraial Do Cabo,BR,70.11,light rain,-22.9661,-42.0278,Pousada Porto Praia
15,San Jose,US,81.28,few clouds,37.3394,-121.895,The Westin San Jose
16,Hithadhoo,MV,81.54,scattered clouds,-0.6,73.0833,Scoop Guest House
17,Praia Da Vitoria,PT,70.05,few clouds,38.7333,-27.0667,Hotel Branco I
18,Rawah,IQ,84.0,clear sky,34.4816,41.9093,بيت سميع
19,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
20,Cozumel,MX,75.27,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
21,Atuona,PF,77.29,clear sky,-9.8,-139.0333,Villa Enata
22,Kapit,MY,78.87,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
23,Samarai,PG,78.94,overcast clouds,-10.6167,150.6667,Nuli Sapi
24,Kathmandu,NP,71.82,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
25,San Policarpo,PH,79.11,moderate rain,12.1791,125.5072,Agapita M. Nicart
26,Oussouye,SN,78.69,overcast clouds,12.485,-16.5469,Auberge du Routard
27,Lagoa,PT,71.6,scattered clouds,39.05,-27.9833,Casa Das Faias
28,Whitecourt,CA,74.44,few clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
29,Abu Samrah,SY,73.74,clear sky,35.3029,37.1841,
30,Matay,EG,82.02,clear sky,28.419,30.7792,Nag Aespen
31,Omsukchan,RU,70.27,overcast clouds,62.5333,155.8,
32,Bandarbeyla,SO,78.82,overcast clouds,9.4942,50.8122,JABIR HOTEL
33,Changtu,CN,70.66,clear sky,42.7788,124.0955,Ming Yang Inn
34,Touros,BR,74.8,clear sky,-5.1989,-35.4608,INN NEW HORIZON
35,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
36,Tautira,PF,73.18,overcast clouds,-17.7333,-149.15,Pension Oaoa
37,Banda Aceh,ID,80.4,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
38,Ribeira Grande,PT,73.72,few clouds,38.5167,-28.7,Quinta da Meia Eira
39,Vrangel,RU,71.65,clear sky,42.7297,133.0839,"Отель ""БАЛИ"""
40,Kalmunai,LK,77.77,overcast clouds,7.4167,81.8167,VS Villa
41,Tutoia,BR,79.14,few clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
42,Bismarck,US,84.04,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
43,Jacareacanga,BR,79.72,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
44,Jiwani,PK,84.15,overcast clouds,25.05,61.7417,Hamza hotel jiwani
45,San Quintin,MX,76.08,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
46,Porto Novo,BJ,75.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
47,Gunjur,GM,78.87,broken clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
48,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
49,Kavaratti,IN,80.56,overcast clouds,10.5669,72.642,Green leaf
50,Piacabucu,BR,72.28,clear sky,-10.4056,-36.4344,Piaçabuçu News
51,Canutama,BR,80.19,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
52,Mahur,IN,70.3,light rain,25.1667,93.1167,Zyon Doungel
53,Umm Kaddadah,SD,80.98,overcast clouds,13.6017,26.6876,
