City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Impfondo,CG,1.6381,18.0667,73.17,80,100,2.28,overcast clouds
1,Cape Town,ZA,-33.9258,18.4232,57.11,90,43,8.01,light rain
2,Mindelo,CV,16.8901,-24.9804,78.35,78,40,9.22,scattered clouds
3,Kapaa,US,22.0752,-159.319,84.18,77,100,13.8,overcast clouds
4,Kavieng,PG,-2.5744,150.7967,82.4,72,100,3.74,overcast clouds
5,Qaanaaq,GL,77.484,-69.3632,35.6,61,0,3.56,clear sky
6,Mataura,NZ,-46.1927,168.8643,46.47,67,100,3.8,overcast clouds
7,Albany,US,42.6001,-73.9662,73.38,74,16,5.77,few clouds
8,Butaritari,KI,3.0707,172.7902,81.82,75,10,13.94,clear sky
9,Acari,PE,-15.4311,-74.6158,65.01,73,47,3.4,scattered clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,49.08,83,0,6.91,clear sky
11,Praia,CV,14.9215,-23.5087,81.14,78,75,2.3,broken clouds
12,Acapulco,MX,16.8634,-99.8901,84.02,74,100,4.61,overcast clouds
13,Abu Kamal,SY,34.4506,40.9171,83.32,40,0,11.68,clear sky
14,Jamestown,US,42.097,-79.2353,65.79,63,0,0.0,clear sky
15,Nikolskoye,RU,59.7035,30.7861,56.8,82,58,0.72,broken clouds
16,Tulun,RU,54.5611,100.5792,60.55,85,72,3.18,light rain
17,Hermanus,ZA,-34.4187,19.2345,49.8,76,70,12.66,broken clouds
18,Rikitea,PF,-23.1203,-134.9692,73.94,80,100,16.71,overcast clouds
19,Cabedelo,BR,-6.9811,-34.8339,74.07,82,0,11.34,clear sky
20,Ambulu,ID,-8.345,113.6058,78.46,80,99,1.83,overcast clouds
21,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,75,16.11,broken clouds
22,Vaini,TO,-21.2,-175.2,80.76,89,75,14.97,broken clouds
23,Khatanga,RU,71.9667,102.5,57.88,55,89,15.5,overcast clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,70.11,92,100,15.3,light rain
25,New Norfolk,AU,-42.7826,147.0587,52.92,46,7,2.8,clear sky
26,San Jose,US,37.3394,-121.895,81.28,53,20,21.85,few clouds
27,Victoria,HK,22.2855,114.1577,85.24,82,100,21.0,overcast clouds
28,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,2.3,broken clouds
29,Georgetown,MY,5.4112,100.3354,85.93,87,20,2.3,haze
30,Port Alfred,ZA,-33.5906,26.891,65.93,56,90,11.63,overcast clouds
31,Nenjiang,CN,49.1833,125.2167,60.76,72,100,10.89,overcast clouds
32,Pevek,RU,69.7008,170.3133,42.53,98,100,7.78,moderate rain
33,Bluff,NZ,-46.6,168.3333,46.8,65,67,5.79,broken clouds
34,Hithadhoo,MV,-0.6,73.0833,81.54,76,32,7.94,scattered clouds
35,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,88,20,4.94,few clouds
36,Iqaluit,CA,63.7506,-68.5145,49.73,66,40,0.0,scattered clouds
37,Rawah,IQ,34.4816,41.9093,84.0,40,0,15.7,clear sky
38,Puerto Ayora,EC,-0.7393,-90.3518,69.55,87,90,4.0,overcast clouds
39,Dauphin,CA,51.1494,-100.0502,69.94,68,0,5.75,clear sky
40,Ponta Do Sol,PT,32.6667,-17.1,70.72,89,11,3.74,few clouds
41,Cozumel,MX,20.5083,-86.9458,75.27,94,100,20.71,overcast clouds
