City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bambous Virieux,MU,2022-08-01 20:20:24,-20.3428,57.7575,66.45,94,75,6.91
1,Viedma,AR,2022-08-01 20:20:24,-40.8135,-62.9967,56.8,46,100,7.31
2,Provideniya,RU,2022-08-01 20:20:24,64.3833,-173.3,44.71,87,75,6.71
3,Sarkand,KZ,2022-08-01 20:20:24,45.41,79.9186,64.04,62,33,6.91
4,Punta Arenas,CL,2022-08-01 20:17:05,-53.15,-70.9167,46.51,66,75,18.41
5,Raipur,IN,2022-08-01 20:20:25,21.2333,81.6333,82.63,71,100,4.52
6,Norman Wells,CA,2022-08-01 20:20:25,65.282,-126.8329,71.64,43,20,9.22
7,Touros,BR,2022-08-01 20:20:26,-5.1989,-35.4608,78.31,77,10,14.88
8,Torbay,CA,2022-08-01 20:16:18,47.6666,-52.7314,81.88,50,75,9.22
9,Buala,SB,2022-08-01 20:20:26,-8.145,159.5921,79.54,79,48,7.58
10,Mehamn,NO,2022-08-01 20:20:26,71.0357,27.8492,51.75,100,0,0.0
11,Central Point,US,2022-08-01 20:20:27,42.376,-122.9164,89.83,51,75,8.05
12,Saldanha,ZA,2022-08-01 20:20:27,-33.0117,17.9442,42.85,74,0,10.45
13,Noumea,NC,2022-08-01 20:20:06,-22.2763,166.4572,72.0,99,97,9.46
14,Kamenka,RU,2022-08-01 20:20:27,51.3223,42.7678,64.36,63,22,8.99
15,Narsaq,GL,2022-08-01 20:20:28,60.9167,-46.05,55.62,73,100,8.46
16,Luderitz,NA,2022-08-01 20:20:28,-26.6481,15.1594,53.94,78,0,7.9
17,Leoben,AT,2022-08-01 20:20:28,47.3461,15.1257,67.14,86,3,4.41
18,Busselton,AU,2022-08-01 20:20:29,-33.65,115.3333,53.1,73,93,33.44
19,Chuy,UY,2022-08-01 20:20:29,-33.6971,-53.4616,56.91,88,68,6.11
20,Georgetown,MY,2022-08-01 20:19:28,5.4112,100.3354,80.89,93,40,3.44
21,Chokurdakh,RU,2022-08-01 20:20:29,70.6333,147.9167,49.05,82,99,10.92
22,Mar Del Plata,AR,2022-08-01 20:17:54,-38.0023,-57.5575,55.42,86,0,7.0
23,Vestmannaeyjar,IS,2022-08-01 20:20:30,63.4427,-20.2734,51.64,67,5,21.27
24,Rikitea,PF,2022-08-01 20:17:46,-23.1203,-134.9692,73.0,72,100,24.61
25,Mahebourg,MU,2022-08-01 20:20:30,-20.4081,57.7,66.49,94,75,6.91
26,Nowy Dwor Mazowiecki,PL,2022-08-01 20:20:31,52.4302,20.7165,72.1,78,0,2.3
27,Aklavik,CA,2022-08-01 20:20:31,68.2191,-135.0107,61.99,50,62,3.0
28,Port Alfred,ZA,2022-08-01 20:20:31,-33.5906,26.891,56.66,66,68,9.51
29,Atuona,PF,2022-08-01 20:20:26,-9.8,-139.0333,78.03,70,37,16.37
30,Boguchany,RU,2022-08-01 20:20:32,58.3814,97.4531,59.31,99,63,4.52
31,Esperance,AU,2022-08-01 20:20:32,-33.8667,121.9,55.45,68,57,29.08
32,Ushuaia,AR,2022-08-01 20:20:32,-54.8,-68.3,47.86,57,20,8.05
33,Ribeira Grande,PT,2022-08-01 20:20:33,38.5167,-28.7,75.6,73,20,6.91
34,Sandakan,MY,2022-08-01 20:20:33,5.8402,118.1179,78.48,89,20,0.0
35,Vaini,TO,2022-08-01 20:20:33,-21.2,-175.2,77.16,94,20,4.61
36,Fortuna,US,2022-08-01 20:20:34,40.5982,-124.1573,67.91,75,0,12.66
37,Yemelyanovo,RU,2022-08-01 20:20:34,56.1681,92.6767,59.81,88,75,6.71
38,Taltal,CL,2022-08-01 20:20:34,-25.4,-70.4833,59.27,74,27,4.07
39,Kapaa,US,2022-08-01 20:20:35,22.0752,-159.319,81.48,69,40,18.41
40,Inuvik,CA,2022-08-01 20:20:35,68.3499,-133.7218,61.66,67,40,5.75
41,Logansport,US,2022-08-01 20:20:19,40.7545,-86.3567,86.61,66,75,14.97
42,Souillac,MU,2022-08-01 20:20:35,-20.5167,57.5167,66.58,94,75,6.91
43,Florianopolis,BR,2022-08-01 20:20:36,-27.6146,-48.5012,67.23,68,0,5.75
44,Nome,US,2022-08-01 20:20:36,64.5011,-165.4064,67.15,52,75,6.91
45,New Norfolk,AU,2022-08-01 20:20:36,-42.7826,147.0587,44.1,82,41,5.01
